Month,Calendar Year,Fiscal Year,Month Date,Route,Riders
Jul,2013,FY13-14,07/01/2013 12:00:00 AM,108,1606
Jul,2013,FY13-14,07/01/2013 12:00:00 AM,112,35972
Jul,2013,FY13-14,07/01/2013 12:00:00 AM,120,8907
Jul,2013,FY13-14,07/01/2013 12:00:00 AM,128,8924
Jul,2013,FY13-14,07/01/2013 12:00:00 AM,136,12722
Jul,2013,FY13-14,07/01/2013 12:00:00 AM,156,1110
Jul,2013,FY13-14,07/01/2013 12:00:00 AM,184,9176
Jul,2013,FY13-14,07/01/2013 12:00:00 AM,30,40572
Jul,2013,FY13-14,07/01/2013 12:00:00 AM,40,50426
Jul,2013,FY13-14,07/01/2013 12:00:00 AM,45,41601
Jul,2013,FY13-14,07/01/2013 12:00:00 AM,531,1250
Jul,2013,FY13-14,07/01/2013 12:00:00 AM,533,5572
Jul,2013,FY13-14,07/01/2013 12:00:00 AM,541,1211
Jul,2013,FY13-14,07/01/2013 12:00:00 AM,61,61539
Jul,2013,FY13-14,07/01/2013 12:00:00 AM,77,4194
Jul,2013,FY13-14,07/01/2013 12:00:00 AM,96,43551
Jul,2013,FY13-14,07/01/2013 12:00:00 AM,AZ Ave Link,20314
Jul,2013,FY13-14,07/01/2013 12:00:00 AM,Main St Link,29688
Aug,2013,FY13-14,08/01/2013 12:00:00 AM,104,22326
Aug,2013,FY13-14,08/01/2013 12:00:00 AM,108,2615
Aug,2013,FY13-14,08/01/2013 12:00:00 AM,112,29217
Aug,2013,FY13-14,08/01/2013 12:00:00 AM,120,9309
Aug,2013,FY13-14,08/01/2013 12:00:00 AM,128,8816
Aug,2013,FY13-14,08/01/2013 12:00:00 AM,136,12692
Aug,2013,FY13-14,08/01/2013 12:00:00 AM,156,1677
Aug,2013,FY13-14,08/01/2013 12:00:00 AM,184,9787
Aug,2013,FY13-14,08/01/2013 12:00:00 AM,30,37284
Aug,2013,FY13-14,08/01/2013 12:00:00 AM,40,41233
Aug,2013,FY13-14,08/01/2013 12:00:00 AM,45,39990
Aug,2013,FY13-14,08/01/2013 12:00:00 AM,531,1120
Aug,2013,FY13-14,08/01/2013 12:00:00 AM,533,4919
Aug,2013,FY13-14,08/01/2013 12:00:00 AM,535,3279
Aug,2013,FY13-14,08/01/2013 12:00:00 AM,541,1051
Aug,2013,FY13-14,08/01/2013 12:00:00 AM,61,56151
Aug,2013,FY13-14,08/01/2013 12:00:00 AM,77,4134
Aug,2013,FY13-14,08/01/2013 12:00:00 AM,96,39209
Aug,2013,FY13-14,08/01/2013 12:00:00 AM,AZ Ave Link,19490
Aug,2013,FY13-14,08/01/2013 12:00:00 AM,Buzz,9112
Aug,2013,FY13-14,08/01/2013 12:00:00 AM,Main St Link,25455
Sep,2013,FY13-14,09/01/2013 12:00:00 AM,104,23642
Sep,2013,FY13-14,09/01/2013 12:00:00 AM,108,2959
Sep,2013,FY13-14,09/01/2013 12:00:00 AM,112,34791
Sep,2013,FY13-14,09/01/2013 12:00:00 AM,120,10122
Sep,2013,FY13-14,09/01/2013 12:00:00 AM,128,9559
Sep,2013,FY13-14,09/01/2013 12:00:00 AM,136,13502
Sep,2013,FY13-14,09/01/2013 12:00:00 AM,156,2485
Sep,2013,FY13-14,09/01/2013 12:00:00 AM,184,11290
Sep,2013,FY13-14,09/01/2013 12:00:00 AM,30,37123
Sep,2013,FY13-14,09/01/2013 12:00:00 AM,40,45557
Sep,2013,FY13-14,09/01/2013 12:00:00 AM,45,43362
Sep,2013,FY13-14,09/01/2013 12:00:00 AM,531,1068
Sep,2013,FY13-14,09/01/2013 12:00:00 AM,533,5359
Sep,2013,FY13-14,09/01/2013 12:00:00 AM,535,3314
Sep,2013,FY13-14,09/01/2013 12:00:00 AM,541,1358
Sep,2013,FY13-14,09/01/2013 12:00:00 AM,61,61820
Sep,2013,FY13-14,09/01/2013 12:00:00 AM,77,4433
Sep,2013,FY13-14,09/01/2013 12:00:00 AM,96,47032
Sep,2013,FY13-14,09/01/2013 12:00:00 AM,AZ Ave Link,21912
Sep,2013,FY13-14,09/01/2013 12:00:00 AM,Buzz,10416
Sep,2013,FY13-14,09/01/2013 12:00:00 AM,Main St Link,27194
Oct,2013,FY13-14,10/01/2013 12:00:00 AM,104,25220
Oct,2013,FY13-14,10/01/2013 12:00:00 AM,108,3496
