RowID,Date,Year,Month,New Customers,Households Served,Individuals Served,Pounds Distributed,Pounds Per Household,Meals Distributed,Meals per Household,Mesa Residents,%  Mesa Residents,New Proxy,On File Proxy Pick-up (HH),Total Proxies Picked Up (HH),Notes
1,01/08/2021 12:00:00 AM,2021,Jan,,1590,5538,60937,38.3251572327044,50780.8333333333,31.9376310272537,1104,0.694339622641509,24,70,94,75 OOTS
2,01/15/2021 12:00:00 AM,2021,Jan,,1376,5287,61396,44.6191860465116,51163.3333333333,37.1826550387597,1021,0.742005813953488,39,64,103,75 OOTS
3,01/22/2021 12:00:00 AM,2021,Jan,,1323,5056,42966,32.4761904761905,35805,27.0634920634921,1019,0.770219198790627,12,81,93,75 OOTS - discontinuing partnership
4,01/29/2021 12:00:00 AM,2021,Jan,,1298,5106,87474,67.3913713405239,72895,56.1594761171032,958,0.738058551617874,9,96,105,
5,02/05/2021 12:00:00 AM,2021,Feb,,1197,4660,69697,58.2263993316625,58080.8333333333,48.5219994430521,873,0.729323308270677,5,77,82,
6,02/12/2021 12:00:00 AM,2021,Feb,,1067,4102,90444,84.7647610121837,75370,70.6373008434864,777,0.728209934395501,,,,
7,02/19/2021 12:00:00 AM,2021,Feb,,1150,4565,41583,36.1591304347826,34652.5,30.1326086956522,891,0.7748,,,,"(20lbs of frozen meat was included, however total poundage doesn't relfect due to the meat being included in Janaury 2021's pounds)"
8,02/26/2021 12:00:00 AM,2021,Feb,,1154,4500,92587,80.2313691507799,77155.8333333333,66.8594742923166,860,0.7452,,,,
9,03/05/2021 12:00:00 AM,2021,Mar,,1170,4561,47318,40.442735042735,39431.6666666667,33.7022792022792,868,0.74,,,,
10,03/12/2021 12:00:00 AM,2021,Mar,,1109,4296,85542,77.1343552750225,71285,64.2786293958521,832,0.75,,,,
